time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-2.11720390258e-08,-7.45130891398e-08,10.0048398317,6.28307232611,2.4435459328e-05,0.0,-2.07656938572e-06,-8.43239401588e-06,0.161317892586,-0.00594375753596,0.00120965208369,0.0,456.3634730218628,456.45998985814833,455.70667128866603,455.2314380699223
0.12000000000000001,-1.07700592557e-06,-4.15661466278e-06,10.0196533492,6.2831125452,6.28285824734,0.0,-2.45213880277e-05,-0.000142619281519,0.332431099489,0.0113942177622,-0.0263018348791,0.0,459.9980079381654,457.8146595789672,458.31067181618664,459.6864006130603
0.18,1.25974705717e-05,-1.14067356658e-05,10.0463814351,0.000601631799126,6.2812674644,0.0,0.000671471629856,-1.71180877771e-05,0.558421470948,0.0109294547554,-0.0269387992207,0.0,475.47290581237735,475.4240109532901,475.26044074580363,475.2246901992352
0.23999999999999996,0.000103182773924,4.438571215e-06,10.0849791324,0.00160294855539,6.27979134092,0.0,0.00252109140687,0.000640482866493,0.728074793994,0.0262503503869,-0.0202967714803,0.0,458.5669791550698,459.09413891119976,458.19588085396583,459.4120201897441
0.3,0.000339557086842,8.8144896823e-05,10.1345070533,0.00370941391167,6.27851319417,0.0,0.00550224722836,0.00236786387893,0.922717807863,0.0486414815989,-0.0233935153314,0.0,467.3876190681267,467.14626237519445,464.91797526658735,466.6692418165581
0.36000000000000004,0.000780186758747,0.000325428377646,10.1946381255,0.00636194692513,6.27722344585,0.0,0.00933354425724,0.00585150907593,1.08151203169,0.0334145012828,-0.0179478681574,0.0,455.61295687498676,456.0480839025743,456.88005960955195,455.6655862154779
0.4200000000000001,0.00146122733941,0.000808675542031,10.2615108053,0.00811528845287,6.27612141982,0.0,0.0134730399737,0.0104401527474,1.14751105644,0.0191421498819,-0.0192189663169,0.0,426.88067045552833,426.772246695607,428.13445843971175,426.9188249427963
0.48000000000000015,0.00242459661271,0.00161250672746,10.334017793,0.00910946075876,6.27510663236,0.0,0.018752013195,0.0164664759071,1.26925910569,0.0108518720287,-0.0126601811302,0.0,444.44151359366134,444.9787692558598,445.79651533752826,445.1185788068954
0.5400000000000001,0.00372358529687,0.00279682352927,10.4137570539,0.0100092414229,6.27490925836,0.0,0.0245918162312,0.023091899682,1.38857743275,0.0222099508469,0.0108473303276,0.0,443.81362475740315,445.738720884068,443.97674730445135,444.9074712434918
0.6000000000000002,0.00540230924671,0.00443791443839,10.5043441302,0.0111228949349,6.27511907535,0.0,0.0313014178049,0.0317598991989,1.63067730526,0.0100262751754,-0.0182700398967,0.0,482.6722915804818,480.470016790322,482.40229435419536,481.481423114193
0.6600000000000003,0.00746036492498,0.00658835130311,10.6062790952,0.0121145130016,6.27380949379,0.0,0.0374266469718,0.0400071487732,1.7669517851,0.0270988731683,-0.0301054893594,0.0,452.0500825133816,451.09541047458555,449.477661788744,450.8589578305084
0.7200000000000003,0.00991825529908,0.00926129739592,10.716534375,0.0142517606748,6.27229339822,0.0,0.0446788142253,0.0492957479264,1.90799465451,0.0487537824835,-0.0170215614248,0.0,451.7693374610694,452.822882526754,452.3900142896219,454.13071208987344
0.7800000000000004,0.0128365055467,0.0125365370215,10.8348031932,0.0173908175373,6.27142051365,0.0,0.0526935752755,0.0601974619716,2.03407682195,0.0586300047367,-0.0100108645931,0.0,448.3475133316725,448.91681823332635,448.27544829532724,449.07895311244664
0.8400000000000004,0.0162805996707,0.0165779982206,10.9630048783,0.0208107964479,6.27111890521,0.0,0.0621562405133,0.0749188513601,2.23892553933,0.0535229882874,0.00343511481988,0.0,472.65791009033603,473.69305389240947,472.86409377994096,472.4725499557976
0.9000000000000005,0.0202358403457,0.0214758601449,11.0984988331,0.0237280278021,6.27176239692,0.0,0.0696418337321,0.088628452788,2.27745686973,0.0363665935771,0.0223294272617,0.0,420.4102420920897,422.04403964689067,423.4939933784451,422.01730081128704
0.9600000000000005,0.0246571124574,0.0273180008846,11.2392219445,0.025751959679,6.27265736523,0.0,0.077602983477,0.106328953237,2.41303206865,0.0278618081563,-0.00715406639504,0.0,454.54349609029464,452.1745746164705,453.11434525279475,452.43057033269355
1.0200000000000005,0.0295727966133,0.0343385284075,11.3908682228,0.0283669616606,6.27265588772,0.0,0.0862703401408,0.127947816657,2.64133612746,0.064085577055,0.0113742902697,0.0,480.76039997149275,482.1621949148349,479.78373141200393,482.52679863833606
1.0800000000000005,0.0350208759662,0.0427777307742,11.5579020495,0.0322649409486,6.27385329085,0.0,0.0951983531464,0.153839307213,2.92575941694,0.0666712712946,0.0331640261596,0.0,498.0219674394878,499.61308347961733,497.69528974204843,497.8871078616648
1.1400000000000006,0.040925295163,0.0527193522275,11.7373319026,0.0358034742747,6.27625254837,0.0,0.101376071246,0.177946005699,3.05488554818,0.0354906867108,0.0509851882461,0.0,453.8447954631829,455.2736739660372,455.1794826048878,452.67946728733864
1.2000000000000006,0.0471611511909,0.0642709576292,11.9271100129,0.038456190818,6.2795283283,0.0,0.106103236116,0.207375157891,3.27044942781,0.0575830152992,0.0609830687062,0.0,481.11295621476495,481.87105928688726,479.19221732548226,480.8695786921687
1.2600000000000007,0.0535873328821,0.0775039536031,12.1258922272,0.04204357531,6.28294604661,0.0,0.107746798011,0.234066184064,3.35536299062,0.063871780173,0.0473819023826,0.0,443.54868777217126,442.4324406159847,441.75525110089745,442.27606049240745
